Search Condition
State,Glass
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,All Oxide
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Molar Volume at RT,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,50000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, BaO, Li2O, Na2O, K2O, Cu2O, Rb2O, Ag2O, Cs2O, Tl2O, MnO, FeO, CoO, NiO, CuO, ZnO, SrO, CdO, PbO, SnO, Molar Volume at RT ( cm3/mol )
4964, GJ28-366784, J. Non-Crystalline Solids, 2017, v. 457  p. 0116, , , , , , , , , , , , , , , , , , , , 40.0, , , , , 23.6
4965, GJ28-366785, J. Non-Crystalline Solids, 2017, v. 457  p. 0116, , , , , , , , , , , , , , , , , , , , 45.0, , , , , 23.0
4966, GJ28-366787, J. Non-Crystalline Solids, 2017, v. 457  p. 0116, , , 1.0, , , , , , , , , , , , , , , , , , , , , , 28.6
4967, GJ28-366788, J. Non-Crystalline Solids, 2017, v. 457  p. 0116, , , 2.0, , , , , , , , , , , , , , , , , , , , , , 28.95
4968, GJ28-366789, J. Non-Crystalline Solids, 2017, v. 457  p. 0116, , , 3.0, , , , , , , , , , , , , , , , , , , , , , 29.45
4969, GJ20-366797, J. Non-Crystalline Solids, 2017, v. 457  p. 0157, , , , , , , 10.0, 10.0, , , , , , , , , , , , 20.0, , , , , 40.9365
4970, GJ20-366798, J. Non-Crystalline Solids, 2017, v. 457  p. 0157, , , , , , , 9.95, 9.95, , , , , , , , , , , , 19.9, , , , , 40.9527
4971, GJ20-366799, J. Non-Crystalline Solids, 2017, v. 457  p. 0157, , , , , , , 9.9, 9.9, , , , , , , , , , , , 19.8, , , , , 40.9264
4972, GJ20-366800, J. Non-Crystalline Solids, 2017, v. 457  p. 0157, , , , , , , 9.85, 9.85, , , , , , , , , , , , 19.7, , , , , 40.7877
4973, GJ20-366801, J. Non-Crystalline Solids, 2017, v. 457  p. 0157, , , , , , , 9.8, 9.8, , , , , , , , , , , , 19.6, , , , , 40.7013
4974, GJ02-366852, J. Non-Crystalline Solids, 2017, v. 458  p. 0129, 75.0, , , , , , , 25.0, , , , , , , , , , , , , , , , , 25.5
4975, GJ02-366853, J. Non-Crystalline Solids, 2017, v. 458  p. 0129, 72.0, , 3.0, , , , , 25.0, , , , , , , , , , , , , , , , , 26.3
4976, GJ02-366854, J. Non-Crystalline Solids, 2017, v. 458  p. 0129, 70.0, , 5.0, , , , , 25.0, , , , , , , , , , , , , , , , , 26.0
4977, GJ02-366855, J. Non-Crystalline Solids, 2017, v. 458  p. 0129, 68.0, , 7.0, , , , , 25.0, , , , , , , , , , , , , , , , , 26.5
4978, GJ02-366856, J. Non-Crystalline Solids, 2017, v. 458  p. 0129, 65.0, , 10.0, , , , , 25.0, , , , , , , , , , , , , , , , , 26.8
4979, GJ02-366857, J. Non-Crystalline Solids, 2017, v. 458  p. 0129, 60.0, , 15.0, , , , , 25.0, , , , , , , , , , , , , , , , , 27.7
4980, GJ02-366858, J. Non-Crystalline Solids, 2017, v. 458  p. 0129, 55.0, , 20.0, , , , , 25.0, , , , , , , , , , , , , , , , , 28.3
4981, GJ02-366859, J. Non-Crystalline Solids, 2017, v. 458  p. 0129, 50.0, , 25.0, , , , , 25.0, , , , , , , , , , , , , , , , , 29.1
4982, GJ02-366860, J. Non-Crystalline Solids, 2017, v. 458  p. 0129, 70.0, , 5.0, , 10.0, , , 15.0, , , , , , , , , , , , , , , , , 25.4
4983, GJ02-366861, J. Non-Crystalline Solids, 2017, v. 458  p. 0129, 65.0, , 10.0, , 10.0, , , 15.0, , , , , , , , , , , , , , , , , 26.1
4984, GJ02-366862, J. Non-Crystalline Solids, 2017, v. 458  p. 0129, 60.0, , 15.0, , 10.0, , , 15.0, , , , , , , , , , , , , , , , , 27.0
4985, GJ28-366877, J. Non-Crystalline Solids, 2017, v. 459  p. 0063, , , , , , , , , , , , , , , , , , , , 10.0, , , 10.0, , 26.71
4986, GJ28-366878, J. Non-Crystalline Solids, 2017, v. 459  p. 0063, , , , , , , , , , , , , , , , , , , , 10.0, , , 20.0, , 26.5
4987, GJ28-366879, J. Non-Crystalline Solids, 2017, v. 459  p. 0063, , , , , , , , , , , , , , , , , , , , 10.0, , , 30.0, , 26.2
4988, GJ28-366880, J. Non-Crystalline Solids, 2017, v. 459  p. 0063, , , , , , , , , , , , , , , , , , , , 10.0, , , 35.0, , 26.05
4989, GJ28-366881, J. Non-Crystalline Solids, 2017, v. 459  p. 0063, , , , , , , , , , , , , , , , , , , , 10.0, , , 40.0, , 26.06
4990, GJ20-366882, J. Non-Crystalline Solids, 2017, v. 459  p. 0068, , , , , , 40.0, , , , , , , , , , , , , , , , , , , 44.7
4991, GJ20-366883, J. Non-Crystalline Solids, 2017, v. 459  p. 0068, , , , , , 40.0, , , , , , , , , , , , , , , , , , , 44.1
4992, GJ20-366884, J. Non-Crystalline Solids, 2017, v. 459  p. 0068, , , , , , 40.0, , , , , , , , , , , , , , , , , , , 43.5
4993, GJ20-366885, J. Non-Crystalline Solids, 2017, v. 459  p. 0068, , , , , , 40.0, , , , , , , , , , , , , , , , , , , 43.0
4994, GJ20-366886, J. Non-Crystalline Solids, 2017, v. 459  p. 0068, , , , , , 40.0, , , , , , , , , , , , , , , , , , , 42.5
4995, GJ20-366887, J. Non-Crystalline Solids, 2017, v. 459  p. 0068, , , , , , 20.0, , , , , , , , , , , , , , , , , , , 51.8
4996, GJ20-366888, J. Non-Crystalline Solids, 2017, v. 459  p. 0068, , , , , , 30.0, , , , , , , , , , , , , , , , , , , 48.4
4997, GJ20-366889, J. Non-Crystalline Solids, 2017, v. 459  p. 0068, , , , , , 40.0, , , , , , , , , , , , , , , , , , , 43.5
4998, GJ20-366890, J. Non-Crystalline Solids, 2017, v. 459  p. 0068, , , , , , 50.0, , , , , , , , , , , , , , , , , , , 38.9
4999, GJ20-366891, J. Non-Crystalline Solids, 2017, v. 459  p. 0068, , , , , , 50.0, , , , , , , , , , , , , , , , , , , 36.7
5000, GJ35-366909, J. Non-Crystalline Solids, 2017, v. 459  p. 0116, , , , , , , , , , , , , , , , , , , , , , , , , 38.05
5001, GJ35-366910, J. Non-Crystalline Solids, 2017, v. 459  p. 0116, , , , , , , , , , , , , , , , , , , , , , , , , 35.42
5002, GJ35-366911, J. Non-Crystalline Solids, 2017, v. 459  p. 0116, , , , , , , , , , , , , , , , , , , , , , , , , 31.49
5003, GP06-367186, European Patent    Corning Inc. (US), 2015, AW031420, 64.45, 4.15, 14.06, 2.55, , , , 13.94, , , , , , , , , , , , , , , , , 27.94
5004, GP06-367187, European Patent    Corning Inc. (US), 2015, AW031420, 62.64, 2.08, 14.71, 2.6, , , , 14.52, , , , , , , , , , , , , , , , , 28.78
5005, GP06-367188, European Patent    Corning Inc. (US), 2015, AW031420, 61.61, 1.27, 14.98, 2.68, , , , 14.8, , , , , , , , , , , , , , , , , 29.18
5006, GP06-367189, European Patent    Corning Inc. (US), 2015, AW031420, 60.18, 0.08, 15.42, 2.82, , , , 15.25, , , , , , , , , , , , , , , , , 29.7
5007, GP06-367195, European Patent    Corning Inc. (US), 2015, AW031420, 64.1, 3.25, 14.07, 2.54, 0.05, , , 13.31, 0.03, , , , , , , , , , , , , , , , 28.51
5008, GP06-367586, European Patent    Corning Inc. (US), 2015, AW126806, 65.0, , 17.5, , , , , , , , , , , , , , , , 17.5, , , , , , 26.2
5009, GP06-367587, European Patent    Corning Inc. (US), 2015, AW126806, 60.0, , 10.0, , , , , 10.0, , , , , , , , , , , 20.0, , , , , , 26.2
5010, GP05-367588, European Patent    Corning Inc. (US), 2015, AW126806, 60.0, 10.0, , , , , , , 10.0, , , , , , , , , , 20.0, , , , , , 26.2
5011, GP02-367589, European Patent    Corning Inc. (US), 2015, AW126806, 60.0, 5.0, , , , , , , 10.0, , , , , , , , , , 20.0, , , , , , 26.2
5012, GP06-367590, European Patent    Corning Inc. (US), 2015, AW126806, 47.62, , 23.81, , , , , , 4.76, , , , , , , , , , 23.81, , , , , , 26.2
5013, GP02-367591, European Patent    Corning Inc. (US), 2015, AW126806, 55.0, 10.0, , , , , , , 10.0, , , , , , , , , , 20.0, , , , , , 26.2
5014, GP02-367592, European Patent    Corning Inc. (US), 2015, AW126806, 55.0, 10.0, , , , , , 10.0, , , , , , , , , , , 20.0, , , , , , 26.2
5015, GP02-367593, European Patent    Corning Inc. (US), 2015, AW126806, 40.0, 10.0, , , , , , , 12.5, , , , , , , , , , 20.0, 12.5, , , , , 26.2
5016, GP05-367594, European Patent    Corning Inc. (US), 2015, AW126806, 48.0, 8.8, , , , , , , 8.8, , , , , , , , , , 30.0, , , , , , 26.2
5017, GP02-367595, European Patent    Corning Inc. (US), 2015, AW126806, 45.0, 7.5, , , , , , , 7.5, , , , , , , , , , 35.0, , , , , , 26.2
5018, GJ28-367610, Bull. Materials Science, 2015, v. 038  p. 0119, , , , , , , , , , , , , , , , , , , , , , , , , 30.12
5019, GJ28-367611, Bull. Materials Science, 2015, v. 038  p. 0119, , , , , , , , , , , , , , , , , , , , , , , , , 31.44
5020, GJ28-367612, Bull. Materials Science, 2015, v. 038  p. 0119, , , , , , , , , , , , , , , , , , , , , , , , , 33.11
5021, GJ28-367613, Bull. Materials Science, 2015, v. 038  p. 0119, , , , , , , , , , , , , , , , , , , , , , , , , 34.5
5022, GJ28-367614, Bull. Materials Science, 2015, v. 038  p. 0119, , , , , , , , , , , , , , , , , , , , , , , 10.0, , 28.39
5023, GJ28-367615, Bull. Materials Science, 2015, v. 038  p. 0119, , , , , , , , , , , , , , , , , , , , , , , 10.0, , 29.61
5024, GJ28-367616, Bull. Materials Science, 2015, v. 038  p. 0119, , , , , , , , , , , , , , , , , , , , , , , 10.0, , 30.85
5025, GJ28-367617, Bull. Materials Science, 2015, v. 038  p. 0119, , , , , , , , , , , , , , , , , , , , , , , 10.0, , 33.86
5026, GJ28-367618, Bull. Materials Science, 2015, v. 038  p. 0119, , , , , , , , , , , , , , , , , , , , , , , 20.0, , 23.68
5027, GJ28-367619, Bull. Materials Science, 2015, v. 038  p. 0119, , , , , , , , , , , , , , , , , , , , , , , 20.0, , 30.36
5028, GJ28-367620, Bull. Materials Science, 2015, v. 038  p. 0119, , , , , , , , , , , , , , , , , , , , , , , 20.0, , 30.36
5029, GJ10-367621, Bull. Materials Science, 2015, v. 038  p. 0241, , 66.0, 5.0, , , , , 29.0, , , , , , , , , , , , , , , , , 31.33
5030, GJ10-367622, Bull. Materials Science, 2015, v. 038  p. 0241, , 61.0, 5.0, , , , , 29.0, , , , , , , , , , , , , , , , , 33.6
5031, GJ10-367623, Bull. Materials Science, 2015, v. 038  p. 0241, , 56.0, 5.0, , , , , 29.0, , , , , , , , , , , , , , , , , 33.65
5032, GJ10-367624, Bull. Materials Science, 2015, v. 038  p. 0241, , 51.0, 5.0, , , , , 29.0, , , , , , , , , , , , , , , , , 36.93
5033, GJ10-367625, Bull. Materials Science, 2015, v. 038  p. 0241, , 46.0, 5.0, , , , , 29.0, , , , , , , , , , , , , , , , , 37.31
5034, GJ20-367626, Bull. Materials Science, 2015, v. 038  p. 0475, , , , 20.0, , , , , , , , , , , 0.1, , , , , 10.0, , , , , 46.82
5035, GJ20-367627, Bull. Materials Science, 2015, v. 038  p. 0475, , , , , 20.0, , , , , , , , , , 0.1, , , , , 10.0, , , , , 47.65
5036, GJ20-367628, Bull. Materials Science, 2015, v. 038  p. 0475, , , , , , , , , , , , , , , 0.1, , , , , 10.0, 20.0, , , , 47.15
5037, GJ20-367629, Bull. Materials Science, 2015, v. 038  p. 0475, , , , , , 20.0, , , , , , , , , 0.1, , , , , 10.0, , , , , 48.93
5038, GJ10-367728, Glass Physics & Chemistry, 2015, v. 041  p. 0290, , 50.0, , , , , , , , , , , , , , , , , , , , , , , 26.23
5039, GJ10-367729, Glass Physics & Chemistry, 2015, v. 041  p. 0290, , 49.5, , , , , , , , , , , , , , , , , , , , , , , 26.33
5040, GJ10-367730, Glass Physics & Chemistry, 2015, v. 041  p. 0290, , 49.0, , , , , , , , , , , , , , , , , , , , , , , 26.43
5041, GJ10-367731, Glass Physics & Chemistry, 2015, v. 041  p. 0290, , 48.5, , , , , , , , , , , , , , , , , , , , , , , 26.49
5042, GJ10-367732, Glass Physics & Chemistry, 2015, v. 041  p. 0290, , 48.0, , , , , , , , , , , , , , , , , , , , , , , 26.55
5043, GJ10-367733, Glass Physics & Chemistry, 2015, v. 041  p. 0290, , 47.5, , , , , , , , , , , , , , , , , , , , , , , 26.62
5044, GJ02-367759, Glass Physics & Chemistry, 2015, v. 041  p. 0352, 60.0, 15.0, , , , , , 25.0, , , , , , , , , , , , , , , , , 24.185
5045, GJ02-367760, Glass Physics & Chemistry, 2015, v. 041  p. 0352, 59.0, 15.0, , , , , , 25.0, , , , , , , , , , , , , , , , , 24.641
5046, GJ02-367761, Glass Physics & Chemistry, 2015, v. 041  p. 0352, 57.0, 15.0, , , , , , 25.0, , , , , , , , , , , , , , , , , 25.581
5047, GJ02-367762, Glass Physics & Chemistry, 2015, v. 041  p. 0352, 55.0, 15.0, , , , , , 25.0, , , , , , , , , , , , , , , , , 26.52
5048, GJ02-367763, Glass Physics & Chemistry, 2015, v. 041  p. 0352, 53.0, 15.0, , , , , , 25.0, , , , , , , , , , , , , , , , , 27.458
5049, GJ03-367830, J. Mater. Sci.: Materials in Electronics, 2015, v. 026  p. 3722, 69.83, 0.09, 1.66, 3.0, 12.17, 0.04, , 12.17, 0.96, , , , , , , , , , , , , , , , 23.926
5050, GJ03-367831, J. Mater. Sci.: Materials in Electronics, 2015, v. 026  p. 3722, 64.47, 0.09, 1.46, 2.92, 11.25, 0.04, , 11.28, 0.85, , , , , , , , , , , 7.6, , , , , 24.058
5051, GJ07-367832, J. Mater. Sci.: Materials in Electronics, 2015, v. 026  p. 3722, 58.84, 0.09, 1.37, 2.68, 10.32, 0.04, , 10.26, 0.81, , , , , , , , , , , 15.55, , , , , 24.18
5052, GJ07-367833, J. Mater. Sci.: Materials in Electronics, 2015, v. 026  p. 3722, 52.99, 0.09, 1.22, 2.43, 9.21, 0.04, , 9.28, 0.76, , , , , , , , , , , 23.94, , , , , 24.315
5053, GJ07-367834, J. Mater. Sci.: Materials in Electronics, 2015, v. 026  p. 3722, 46.67, 0.1, 1.06, 2.17, 8.16, 0.04, , 8.14, 0.64, , , , , , , , , , , 32.98, , , , , 24.472
5054, GJ07-367835, J. Mater. Sci.: Materials in Electronics, 2015, v. 026  p. 3722, 40.23, 0.1, 0.88, 1.72, 7.04, 0.05, , 7.04, 0.51, , , , , , , , , , , 42.39, , , , , 24.727
5055, GJ06-367894, J. Applied Physics, 2015, v. 117  p. 034903, 64.17, 6.0, 11.83, 5.9, , , , 11.95, , , , , , , , , , , , , , , , , 26.9
5056, GJ06-367895, J. Applied Physics, 2015, v. 117  p. 034903, 64.08, 6.04, 11.92, 4.53, , 1.5, , 11.78, , , , , , , , , , , , , , , , , 27.02
5057, GJ06-367896, J. Applied Physics, 2015, v. 117  p. 034903, 64.06, 6.01, 11.94, 2.98, , 2.98, , 11.88, , , , , , , , , , , , , , , , , 27.08
5058, GJ06-367897, J. Applied Physics, 2015, v. 117  p. 034903, 64.1, 5.96, 11.97, 1.52, , 4.46, , 11.84, , , , , , , , , , , , , , , , , 27.1
5059, GJ06-367898, J. Applied Physics, 2015, v. 117  p. 034903, 63.9, 5.92, 11.94, 0.03, , 6.09, , 11.96, , , , , , , , , , , , , , , , , 27.105
5060, GJ28-367996, Int. J. Applied Glass Science, 2015, v. 006  p. 0406, , , , , , , , 6.9, , , , , , , , , , , , , , , , , 29.11
5061, GJ28-367998, Int. J. Applied Glass Science, 2015, v. 006  p. 0406, , , , , , , , 9.2, , , , , , , , , , , , , , , , , 29.14
5062, GJ28-368000, Int. J. Applied Glass Science, 2015, v. 006  p. 0406, , , , , , , , 15.15, , , , , , , , , , , , , , , , , 29.36
5063, GJ28-368002, Int. J. Applied Glass Science, 2015, v. 006  p. 0406, , , , , , , , 19.0, , , , , , , , , , , , , , , , , 29.55
5064, GJ28-368003, Int. J. Applied Glass Science, 2015, v. 006  p. 0406, , , , , , , , 24.1, , , , , , , , , , , , , , , , , 29.75
5065, GJ28-368004, Int. J. Applied Glass Science, 2015, v. 006  p. 0406, , , , , , , , 29.4, , , , , , , , , , , , , , , , , 29.92
5066, GJ28-368005, Int. J. Applied Glass Science, 2015, v. 006  p. 0406, , , , , , , , 32.3, , , , , , , , , , , , , , , , , 29.97
5067, GJ28-368006, Int. J. Applied Glass Science, 2015, v. 006  p. 0406, , , , , , , , 34.0, , , , , , , , , , , , , , , , , 30.17
5068, GJ28-368007, Int. J. Applied Glass Science, 2015, v. 006  p. 0406, , , , , , , , 38.8, , , , , , , , , , , , , , , , , 30.19
5069, GJ28-368085, Optical Materials, 2015, v. 040  p. 0026, , , , , , , , , , , , , , , , , , , , , , , , , 29.521
5070, GJ28-368086, Optical Materials, 2015, v. 040  p. 0026, , , , , , , , , , , , , , , , , , , , , , , , , 29.623
5071, GJ28-368087, Optical Materials, 2015, v. 040  p. 0026, , , , , , , , , , , , , , , , , , , , , , , , , 29.682
5072, GJ28-368088, Optical Materials, 2015, v. 040  p. 0026, , , , , , , , , , , , , , , , , , , , , , , , , 29.724
5073, GJ28-368089, Optical Materials, 2015, v. 040  p. 0026, , , , , , , , , , , , , , , , , , , , , , , , , 29.822
5074, GJ28-368090, Optical Materials, 2015, v. 040  p. 0026, , , , , , , , , , , , , , , , , , , , , , , , , 29.931
5075, GJ28-368192, Optical Materials, 2015, v. 042  p. 0495, , , , , , , , 9.94, , , , , , , , , , , , 19.87, , , , , 26.202
5076, GJ20-368251, Optical Materials, 2015, v. 046  p. 0454, , , , , , , , 42.35, , , , , , , , , , , , 15.0, , , , , 38.438
5077, GJ20-368252, Optical Materials, 2015, v. 046  p. 0454, , , , , , , , 42.1, , , , 0.5, , , , , , , , 15.0, , , , , 38.945
5078, GJ20-368253, Optical Materials, 2015, v. 046  p. 0454, , , , , , , , 41.85, , , , 1.0, , , , , , , , 15.0, , , , , 39.389
5079, GJ10-368273, Optical Materials, 2015, v. 047  p. 0276, , 80.0, , , , , , , , , , , , , , , , , , , , , 20.0, , 29.673
5080, GJ10-368274, Optical Materials, 2015, v. 047  p. 0276, , 79.5, , , , , , , , , , , , , , , , , , , , , 20.0, , 29.021
5081, GJ10-368275, Optical Materials, 2015, v. 047  p. 0276, , 79.0, , , , , , , , , , , , , , , , , , , , , 20.0, , 28.164
5082, GJ10-368276, Optical Materials, 2015, v. 047  p. 0276, , 78.5, , , , , , , , , , , , , , , , , , , , , 20.0, , 27.775
5083, GJ10-368277, Optical Materials, 2015, v. 047  p. 0276, , 78.0, , , , , , , , , , , , , , , , , , , , , 20.0, , 28.564
5084, GJ10-368278, Optical Materials, 2015, v. 047  p. 0276, , 70.0, 5.0, , , , , , , , , , , , , , , , , , , 5.0, 20.0, , 27.625
5085, GJ10-368279, Optical Materials, 2015, v. 047  p. 0276, , 70.0, 4.5, , , , , , , , , , , , , , , , , , , 5.0, 20.0, , 26.69
5086, GJ10-368280, Optical Materials, 2015, v. 047  p. 0276, , 70.0, 4.0, , , , , , , , , , , , , , , , , , , 5.0, 20.0, , 25.116
5087, GJ10-368281, Optical Materials, 2015, v. 047  p. 0276, , 70.0, 3.5, , , , , , , , , , , , , , , , , , , 5.0, 20.0, , 23.981
5088, GJ10-368282, Optical Materials, 2015, v. 047  p. 0276, , 70.0, 3.0, , , , , , , , , , , , , , , , , , , 5.0, 20.0, , 22.641
5089, GJ28-368403, J. Non-Crystalline Solids, 2017, v. 472  p. 0031, 19.8, 23.76, , , , , , , , , , , , , , , , , , , , , , , 34.69
5090, GJ28-368404, J. Non-Crystalline Solids, 2017, v. 472  p. 0031, 19.6, 23.52, , , , , , , , , , , , , , , , , , , , , , , 34.8
5091, GJ28-368405, J. Non-Crystalline Solids, 2017, v. 472  p. 0031, 19.4, 23.28, , , , , , , , , , , , , , , , , , , , , , , 35.12
5092, GJ28-368406, J. Non-Crystalline Solids, 2017, v. 472  p. 0031, 19.2, 23.04, , , , , , , , , , , , , , , , , , , , , , , 35.5
5093, GJ28-368407, J. Non-Crystalline Solids, 2017, v. 472  p. 0031, 19.0, 22.8, , , , , , , , , , , , , , , , , , , , , , , 35.55
5094, GJ28-368408, J. Non-Crystalline Solids, 2017, v. 472  p. 0039, , , , , , , , , , , , , , , , , , , , 10.0, , , , , 30.33
5095, GJ28-368409, J. Non-Crystalline Solids, 2017, v. 472  p. 0039, , , , , , , , , , , , , , , , , , , , 10.0, , , , , 28.53
5096, GJ28-368410, J. Non-Crystalline Solids, 2017, v. 472  p. 0039, , , , , , , , , , , , , , , , , , , , 10.0, , , , , 27.92
5097, GJ28-368411, J. Non-Crystalline Solids, 2017, v. 472  p. 0039, , , , , , , , , , , , , , , , , , , , 10.0, , , , , 27.73
5098, GJ28-368412, J. Non-Crystalline Solids, 2017, v. 472  p. 0039, , , , , , , , , , , , , , , , , , , , 10.0, , , , , 27.3
5099, GJ28-368413, J. Non-Crystalline Solids, 2017, v. 472  p. 0039, , , , , , , , , , , , , , , , , , , , 10.0, , , , , 27.4
5100, GJ28-368455, J. Non-Crystalline Solids, 2017, v. 471  p. 0101, 19.8, 23.76, , , , , , , , , , , , , , , , , , , , , , , 34.69
5101, GJ28-368456, J. Non-Crystalline Solids, 2017, v. 471  p. 0101, 19.6, 23.52, , , , , , , , , , , , , , , , , , , , , , , 34.8
5102, GJ28-368457, J. Non-Crystalline Solids, 2017, v. 471  p. 0101, 19.4, 23.28, , , , , , , , , , , , , , , , , , , , , , , 35.13
5103, GJ28-368458, J. Non-Crystalline Solids, 2017, v. 471  p. 0101, 19.2, 23.04, , , , , , , , , , , , , , , , , , , , , , , 35.5
5104, GJ28-368459, J. Non-Crystalline Solids, 2017, v. 471  p. 0101, 19.0, 22.8, , , , , , , , , , , , , , , , , , , , , , , 35.55
5105, GJ10-368499, J. Non-Crystalline Solids, 2017, v. 471  p. 0295, , 60.0, , , , 20.0, , , , , , , , , , , , , , , , , , , 31.77
5106, GJ10-368500, J. Non-Crystalline Solids, 2017, v. 471  p. 0295, , 50.0, , , , 20.0, , , , , , , , , , , , , , , , , , , 33.91
5107, GJ10-368501, J. Non-Crystalline Solids, 2017, v. 471  p. 0295, , 40.0, , , , 20.0, , , , , , , , , , , , , , , , , , , 36.72
5108, GJ10-368502, J. Non-Crystalline Solids, 2017, v. 471  p. 0295, , 60.0, , , , 20.0, , , , , , , , , , , , , , , , , , , 32.54
5109, GJ10-368503, J. Non-Crystalline Solids, 2017, v. 471  p. 0295, , 60.0, , , , 20.0, , , , , , , , , , , , , , , , , , , 33.5
5110, GJ10-368504, J. Non-Crystalline Solids, 2017, v. 471  p. 0295, , 60.0, , , , 20.0, , , , , , , , , , , , , , , , , , , 31.88
5111, GJ10-368505, J. Non-Crystalline Solids, 2017, v. 471  p. 0295, , 60.0, , , , 20.0, , , , , , , , , , , , , , , , , , , 31.81
5112, GJ03-368512, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, 64.8, , 8.99, , 26.21, , , , , , , , , , , , , , , , , , , , 23.77
5113, GJ03-368513, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, 65.94, , 8.02, , 26.04, , , , , , , , , , , , , , , , , , , , 23.922
5114, GJ03-368514, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, 65.85, , 10.0, , 24.16, , , , , , , , , , , , , , , , , , , , 24.157
5115, GJ03-368515, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, 63.01, , 8.65, , 28.34, , , , , , , , , , , , , , , , , , , , 23.462
5116, GJ03-368516, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, 63.77, , 8.01, , 28.22, , , , , , , , , , , , , , , , , , , , 23.558
5117, GJ03-368517, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, 63.64, , 9.98, , 26.38, , , , , , , , , , , , , , , , , , , , 23.925
5118, GJ03-368518, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, 66.61, , 9.33, , 24.05, , , , , , , , , , , , , , , , , , , , 24.257
5119, GJ03-368519, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, 64.8, , 8.99, , 26.21, , , , , , , , , , , , , , , , , , , , 23.919
5120, GJ03-368520, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, 65.38, , 8.5, , 26.12, , , , , , , , , , , , , , , , , , , , 23.889
5121, GJ03-368521, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, 65.32, , 9.49, , 25.19, , , , , , , , , , , , , , , , , , , , 24.106
5122, GJ03-368522, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, 63.9, , 8.82, , 27.28, , , , , , , , , , , , , , , , , , , , 23.623
5123, GJ03-368523, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, 64.29, , 8.5, , 27.22, , , , , , , , , , , , , , , , , , , , 23.7
5124, GJ03-368524, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, 64.22, , 9.49, , 26.29, , , , , , , , , , , , , , , , , , , , 23.909
5125, GJ03-368525, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, 65.71, , 9.16, , 25.13, , , , , , , , , , , , , , , , , , , , 24.099
5126, GJ03-368526, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, 64.8, , 8.99, , 26.21, , , , , , , , , , , , , , , , , , , , 23.935
5127, GJ03-368527, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, 63.32, , 9.31, , 27.36, , , , , , , , , , , , , , , , , , , , 23.746
5128, GJ03-368528, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, 66.23, , 9.66, , 24.11, , , , , , , , , , , , , , , , , , , , 24.276
5129, GJ03-368529, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, 64.86, , 8.0, , 27.13, , , , , , , , , , , , , , , , , , , , 23.66
5130, GJ03-368530, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, 66.3, , 8.64, , 25.06, , , , , , , , , , , , , , , , , , , , 24.031
5131, GJ03-368531, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, 63.39, , 8.33, , 28.28, , , , , , , , , , , , , , , , , , , , 23.56
5132, GJ03-368532, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, 64.75, , 9.99, , 25.27, , , , , , , , , , , , , , , , , , , , 24.142
5133, GJ02-368581, J. Non-Crystalline Solids, 2016, v. 432  p. 0177, 66.67, , 11.11, , , , , 22.22, , , , , , , , , , , , , , , , , *
5134, GJ02-368582, J. Non-Crystalline Solids, 2016, v. 432  p. 0177, 66.67, , 11.11, , , , , 11.11, , , , , , , , , , , , , , , , , *
5135, GJ06-368583, J. Non-Crystalline Solids, 2016, v. 432  p. 0177, 66.67, , 11.11, , , , , , , , , , , , , , , , , , , , , , *
5136, GJ02-368584, J. Non-Crystalline Solids, 2016, v. 432  p. 0177, 54.55, , 9.09, , , , , 18.18, , , , , , , , , , , , , , , , , *
5137, GJ02-368585, J. Non-Crystalline Solids, 2016, v. 432  p. 0177, 46.15, , 7.69, , , , , 15.38, , , , , , , , , , , , , , , , , *
5138, GJ02-368586, J. Non-Crystalline Solids, 2016, v. 432  p. 0177, 40.0, , 6.67, , , , , 13.33, , , , , , , , , , , , , , , , , *
